Time,05GEX01,05GEX02,05GEX03,05GEX04,05GEX05,05GEX06,05GEX07,05GEX08,05GEX09
6/29/2017 4:50,436.787,436.05,434.967,434.648,433.809,432.835,432.138,431.214,430.285
6/29/2017 4:55,436.787,436.049,434.97,434.651,433.81,432.839,432.137,431.214,430.287
6/29/2017 5:00,436.784,436.047,434.971,434.652,433.809,432.838,432.14,431.214,430.283
6/29/2017 5:05,436.788,436.047,434.967,434.647,433.809,432.837,432.14,431.212,430.284
6/29/2017 5:10,436.787,436.047,434.966,434.647,433.806,432.835,432.137,431.212,430.281
6/29/2017 5:15,436.781,436.045,434.962,434.645,433.805,432.832,432.137,431.214,430.283
6/29/2017 5:20,436.785,436.045,434.966,434.646,433.803,432.831,432.137,431.21,430.283
6/29/2017 5:25,436.787,436.046,434.963,434.644,433.805,432.833,432.136,431.21,430.281
6/29/2017 5:30,436.783,436.044,434.965,434.647,433.805,432.832,432.135,431.21,430.281
6/29/2017 5:35,436.784,436.045,434.961,434.643,433.802,432.83,432.136,431.208,430.279
6/29/2017 5:40,436.778,436.045,434.965,434.646,433.804,432.826,432.134,431.207,430.282
6/29/2017 5:45,436.784,436.046,434.96,434.643,433.8,432.825,432.135,431.207,430.282
6/29/2017 5:50,436.784,436.044,434.963,434.646,433.803,432.827,432.134,431.203,430.279
6/29/2017 5:55,436.784,436.043,434.959,434.641,433.802,432.826,432.135,431.205,430.279
6/29/2017 6:00,436.787,436.042,434.961,434.642,433.799,432.826,432.129,431.203,430.275
6/29/2017 6:05,436.771,436.04,434.96,434.642,433.8,432.823,432.131,431.202,430.278
6/29/2017 6:10,436.779,436.04,434.96,434.638,433.796,432.825,432.13,431.205,430.279
6/29/2017 6:15,436.779,436.04,434.96,434.642,433.798,432.825,432.129,431.203,430.275
6/29/2017 6:20,436.778,436.039,434.961,434.639,433.799,432.818,432.129,431.204,430.272
6/29/2017 6:25,436.776,436.04,434.959,434.643,433.8,432.816,432.131,431.207,430.272
6/29/2017 6:30,436.776,436.038,434.957,434.638,433.796,432.822,432.13,431.204,430.27
6/29/2017 6:35,436.774,436.041,434.956,434.639,433.795,432.82,432.13,431.198,430.272
6/29/2017 6:40,436.772,436.04,434.959,434.637,433.793,432.814,432.13,431.199,430.277
6/29/2017 6:45,436.775,436.037,434.958,434.639,433.796,432.818,432.128,431.203,430.279
6/29/2017 6:50,436.773,436.038,434.959,434.638,433.793,432.817,432.129,431.201,430.272
6/29/2017 6:55,436.774,436.038,434.959,434.639,433.79,432.817,432.125,431.198,430.274
6/29/2017 7:00,436.773,436.039,434.956,434.638,433.79,432.823,432.125,431.202,430.269
6/29/2017 7:05,436.77,436.035,434.953,434.634,433.79,432.813,432.127,431.202,430.274
6/29/2017 7:10,436.776,436.037,434.959,434.637,433.788,432.813,432.126,431.202,430.278
6/29/2017 7:15,436.763,436.036,434.96,434.638,433.787,432.813,432.127,431.196,430.259
6/29/2017 7:20,436.771,436.035,434.957,434.638,433.794,432.82,432.127,431.2,430.27
6/29/2017 7:25,436.771,436.033,434.952,434.637,433.79,432.82,432.126,431.2,430.27
6/29/2017 7:30,436.773,436.031,434.954,434.635,433.791,432.811,432.124,431.196,430.257
6/29/2017 7:35,436.772,436.03,434.953,434.632,433.791,432.815,432.127,431.201,430.271
6/29/2017 7:40,436.771,436.032,434.956,434.635,433.791,432.814,432.126,431.198,430.273
6/29/2017 7:45,436.768,436.034,434.953,434.631,433.791,432.815,432.12,431.196,430.271
6/29/2017 7:50,436.775,436.034,434.947,434.632,433.788,432.819,432.116,431.193,430.275
6/29/2017 7:55,436.765,436.029,434.949,434.632,433.786,432.811,432.12,431.197,430.267
6/29/2017 8:00,436.77,436.029,434.953,434.634,433.786,432.81,432.119,431.192,430.269
6/29/2017 8:05,436.767,436.028,434.952,434.63,433.783,432.814,432.122,431.193,430.266
6/29/2017 8:10,436.769,436.033,434.948,434.632,433.789,432.813,432.118,431.191,430.261
6/29/2017 8:15,436.77,436.031,434.947,434.634,433.78,432.809,432.118,431.193,430.269
6/29/2017 8:20,436.764,436.032,434.942,434.629,433.786,432.809,432.115,431.192,430.262
6/29/2017 8:25,436.771,436.031,434.946,434.624,433.782,432.808,432.116,431.192,430.265
6/29/2017 8:30,436.764,436.029,434.949,434.63,433.786,432.802,432.122,431.19,430.262
6/29/2017 8:35,436.765,436.029,434.945,434.626,433.782,432.806,432.114,431.194,430.262
6/29/2017 8:40,436.765,436.029,434.943,434.624,433.784,432.811,432.113,431.188,430.263
6/29/2017 8:45,436.762,436.027,434.942,434.625,433.784,432.81,432.112,431.189,430.256
6/29/2017 8:50,436.764,436.026,434.942,434.625,433.781,432.805,432.114,431.19,430.254
6/29/2017 8:55,436.762,436.025,434.939,434.63,433.786,432.808,432.115,431.187,430.254
6/29/2017 9:00,436.764,436.027,434.939,434.627,433.782,432.81,432.114,431.188,430.262
6/29/2017 9:05,436.766,436.025,434.944,434.631,433.78,432.808,432.113,431.185,430.263
6/29/2017 9:10,436.763,436.024,434.943,434.628,433.78,432.8,432.112,431.187,430.262
6/29/2017 9:15,436.759,436.024,434.945,434.633,433.782,432.804,432.108,431.182,430.252
6/29/2017 9:20,436.765,436.024,434.942,434.626,433.777,432.805,432.113,431.182,430.264
6/29/2017 9:25,436.764,436.023,434.937,434.625,433.781,432.805,432.113,431.185,430.261
6/29/2017 9:30,436.762,436.021,434.942,434.625,433.778,432.81,432.116,431.182,430.254
6/29/2017 9:35,436.759,436.021,434.943,434.624,433.777,432.806,432.11,431.185,430.257
6/29/2017 9:40,436.752,436.022,434.94,434.62,433.78,432.814,432.11,431.183,430.257
6/29/2017 9:45,436.758,436.021,434.943,434.62,433.775,432.812,432.108,431.184,430.266
6/29/2017 9:50,436.753,436.017,434.935,434.619,433.777,432.801,432.109,431.181,430.252
6/29/2017 9:55,436.759,436.021,434.932,434.622,433.777,432.805,432.108,431.181,430.26
6/29/2017 10:00,436.762,436.021,434.937,434.624,433.772,432.794,432.102,431.177,430.243
6/29/2017 10:05,436.761,436.024,434.939,434.617,433.773,432.792,432.105,431.177,430.258
6/29/2017 10:10,436.76,436.022,434.935,434.616,433.772,432.788,432.105,431.175,430.242
6/29/2017 10:15,436.754,436.022,434.946,434.617,433.777,432.802,432.108,431.176,430.258
6/29/2017 10:20,436.756,436.021,434.931,434.619,433.773,432.794,432.105,431.186,430.255
6/29/2017 10:25,436.756,436.021,434.933,434.618,433.776,432.796,432.106,431.176,430.257
6/29/2017 10:30,436.754,436.02,434.933,434.618,433.773,432.792,432.104,431.18,430.256
6/29/2017 10:35,436.753,436.017,434.937,434.621,433.774,432.805,432.102,431.177,430.248
6/29/2017 10:40,436.759,436.014,434.93,434.618,433.775,432.806,432.1,431.172,430.251
6/29/2017 10:45,436.753,436.015,434.934,434.616,433.772,432.802,432.105,431.173,430.247
6/29/2017 10:50,436.758,436.015,434.935,434.613,433.772,432.797,432.11,431.176,430.253
6/29/2017 10:55,436.752,436.016,434.933,434.614,433.769,432.79,432.104,431.178,430.251
6/29/2017 11:00,436.753,436.011,434.931,434.614,433.768,432.795,432.108,431.176,430.253
6/29/2017 11:05,436.751,436.013,434.933,434.615,433.768,432.797,432.103,431.172,430.246
6/29/2017 11:10,436.747,436.012,434.928,434.608,433.765,432.799,432.103,431.176,430.245
6/29/2017 11:15,436.743,436.013,434.932,434.612,433.765,432.798,432.106,431.176,430.248
6/29/2017 11:20,436.751,436.012,434.932,434.612,433.767,432.796,432.101,431.178,430.246
6/29/2017 11:25,436.75,436.013,434.935,434.612,433.768,432.792,432.107,431.177,430.248
6/29/2017 11:30,436.749,436.009,434.93,434.613,433.77,432.797,432.11,431.175,430.252
6/29/2017 11:35,436.753,436.013,434.933,434.609,433.765,432.792,432.098,431.172,430.241
6/29/2017 11:40,436.751,436.009,434.93,434.609,433.768,432.791,432.1,431.173,430.248
6/29/2017 11:45,436.748,436.009,434.929,434.609,433.764,432.789,432.097,431.178,430.247
6/29/2017 11:50,436.746,436.008,434.924,434.61,433.766,432.787,432.097,431.171,430.241
6/29/2017 11:55,436.741,436.008,434.93,434.607,433.763,432.789,432.098,431.171,430.266
6/29/2017 12:00,436.743,436.01,434.927,434.614,433.762,432.791,432.096,431.169,430.248
6/29/2017 12:05,436.743,436.008,434.929,434.609,433.763,432.793,432.096,431.171,430.244
6/29/2017 12:10,436.745,436.008,434.925,434.611,433.763,432.787,432.1,431.172,430.247
6/29/2017 12:15,436.745,436.007,434.922,434.607,433.759,432.781,432.094,431.169,430.242
6/29/2017 12:20,436.745,436.007,434.921,434.608,433.758,432.788,432.096,431.166,430.25
